Name,Total,Attended,Percentage,Status
Aarav,44,38,86.36,OK
Saanvi,47,44,93.62,OK
Aditya,59,42,71.19,SHORTAGE
Ishita,46,38,82.61,OK
Rohan,59,37,62.71,SHORTAGE
Ananya,51,43,84.31,OK
Vivaan,60,54,90.0,OK
Diya,40,36,90.0,OK
Krishna,49,27,55.1,SHORTAGE
Meera,55,31,56.36,SHORTAGE
Aryan,49,37,75.51,OK
Aadhya,51,33,64.71,SHORTAGE
Dhruv,51,36,70.59,SHORTAGE
Kiara,48,29,60.42,SHORTAGE
Kabir,43,41,95.35,OK
Anika,59,32,54.24,SHORTAGE
Shaurya,52,30,57.69,SHORTAGE
Ira,59,28,47.46,SHORTAGE
Reyansh,52,40,76.92,OK
Sofia,40,34,85.0,OK
Arjun,40,36,90.0,OK
Myra,52,34,65.38,SHORTAGE
Yash,46,42,91.3,OK
Aarohi,53,35,66.04,SHORTAGE
Riya,42,31,73.81,SHORTAGE
Dev,54,42,77.78,OK
Nitya,42,25,59.52,SHORTAGE
Kian,48,42,87.5,OK
Tara,59,59,100.0,OK
Shaan,42,35,83.33,OK
Anvi,40,37,92.5,OK
Vivaan,49,37,75.51,OK
Isha,55,44,80.0,OK
Reyansh,42,30,71.43,SHORTAGE
Megha,51,41,80.39,OK
Krish,45,36,80.0,OK
Sanya,55,42,76.36,OK
Advik,51,35,68.63,SHORTAGE
Aahana,49,25,51.02,SHORTAGE
Rudra,60,41,68.33,SHORTAGE
Tanya,60,34,56.67,SHORTAGE
Arya,58,51,87.93,OK
Vihaan,59,34,57.63,SHORTAGE
Mira,57,25,43.86,SHORTAGE
Kartik,48,48,100.0,OK
Aarohi,53,27,50.94,SHORTAGE
Rishabh,41,41,100.0,OK
Anaya,53,52,98.11,OK
Siddharth,58,26,44.83,SHORTAGE
Diya,44,38,86.36,OK
Ayaan,44,27,61.36,SHORTAGE
Kiara,45,27,60.0,SHORTAGE
Arnav,55,29,52.73,SHORTAGE
Ira,53,25,47.17,SHORTAGE
Vivaan,45,41,91.11,OK
Myra,59,55,93.22,OK
Kabir,46,32,69.57,SHORTAGE
Anika,50,36,72.0,SHORTAGE
Shaurya,41,25,60.98,SHORTAGE
Nitya,41,32,78.05,OK
Krishna,57,36,63.16,SHORTAGE
Riya,40,27,67.5,SHORTAGE
Aryan,60,56,93.33,OK
Aadhya,55,39,70.91,SHORTAGE
Dhruv,52,27,51.92,SHORTAGE
Ishita,59,47,79.66,OK
Reyansh,41,33,80.49,OK
Meera,58,55,94.83,OK
Dev,47,37,78.72,OK
Anvi,54,30,55.56,SHORTAGE
Yash,53,43,81.13,OK
Sofia,57,35,61.4,SHORTAGE
Aria,54,50,92.59,OK
Advik,54,48,88.89,OK
Isha,40,34,85.0,OK
Kabir,47,36,76.6,OK
Anaya,58,27,46.55,SHORTAGE
Arya,43,35,81.4,OK
Siddharth,54,45,83.33,OK
Kiara,60,37,61.67,SHORTAGE
Arnav,57,52,91.23,OK
Diya,41,40,97.56,OK
Aarav,54,39,72.22,SHORTAGE
Saanvi,55,38,69.09,SHORTAGE
Aditya,42,31,73.81,SHORTAGE
Ishita,54,48,88.89,OK
Rohan,49,43,87.76,OK
Ananya,42,37,88.1,OK
Vivaan,52,36,69.23,SHORTAGE
Diya,55,28,50.91,SHORTAGE
Krishna,46,26,56.52,SHORTAGE
Meera,46,27,58.7,SHORTAGE
Aryan,41,31,75.61,OK
Aadhya,41,26,63.41,SHORTAGE
Dhruv,52,38,73.08,SHORTAGE
Kiara,50,29,58.0,SHORTAGE
Kabir,41,34,82.93,OK
Anika,50,31,62.0,SHORTAGE
Shaurya,59,38,64.41,SHORTAGE
Ira,54,43,79.63,OK
